,Prominent,actor id,actor name,character,gender code,id,title
0,True,6193,Leonardo DiCaprio,Dom Cobb,2,27205,Inception
1,False,24045,Joseph Gordon-Levitt,Arthur,2,27205,Inception
2,False,27578,Ellen Page,Ariadne,1,27205,Inception
3,False,2524,Tom Hardy,Eames,2,27205,Inception
4,False,3899,Ken Watanabe,Saito,2,27205,Inception
5,False,2037,Cillian Murphy,Robert Fischer,2,27205,Inception
6,False,8293,Marion Cotillard,Mal,1,27205,Inception
7,False,3895,Michael Caine,Miles,2,27205,Inception
8,False,95697,Dileep Rao,Yusuf,2,27205,Inception
9,False,13022,Tom Berenger,Browning,2,27205,Inception
10,False,4935,Pete Postlethwaite,Maurice Fischer,2,27205,Inception
11,False,526,Lukas Haas,Nash,2,27205,Inception
12,False,66441,Talulah Riley,Blonde,1,27205,Inception
13,False,173212,Tohoru Masamune,Japanese Security Guard,0,27205,Inception
14,False,967376,Taylor Geare,Phillipa (5 years),1,27205,Inception
15,False,973135,Claire Geare,Phillipa (3 years),1,27205,Inception
16,False,1677266,Johnathan Geare,James (3 years),2,27205,Inception
17,False,56120,Yuji Okumoto,Saito's Attendant,2,27205,Inception
18,False,2246,Earl Cameron,Elderly Bald Man,2,27205,Inception
19,False,1677267,Ryan Hayward,Lawyer,2,27205,Inception
20,False,1334309,Miranda Nolan,Flight Attendant,1,27205,Inception
21,False,535,Russ Fega,Cab Driver,2,27205,Inception
22,False,72864,Tim Kelleher,Thin Man,2,27205,Inception
23,False,1677498,Coralie Dedykere,Bridge Sub Con,1,27205,Inception
24,False,13695,Silvie Laguna,Bridge Sub Con,0,27205,Inception
25,False,133257,Virgile Bramly,Bridge Sub Con,2,27205,Inception
26,False,1677507,Nicolas Clerc,Bridge Sub Con,2,27205,Inception
27,False,1536351,Jean-Michel Dagory,Bridge Sub Con,2,27205,Inception
28,False,203087,Marc Raducci,Lobby Sub Con,2,27205,Inception
29,True,109,Elijah Wood,Frodo Baggins,2,120,The Lord of the Rings: The Fellowship of the Ring
30,False,1327,Ian McKellen,Gandalf the Grey,2,120,The Lord of the Rings: The Fellowship of the Ring
31,False,110,Viggo Mortensen,Aragorn,2,120,The Lord of the Rings: The Fellowship of the Ring
32,False,1328,Sean Astin,"Samwise ""Sam"" Gamgee",2,120,The Lord of the Rings: The Fellowship of the Ring
33,False,882,Liv Tyler,Arwen Evenstar,1,120,The Lord of the Rings: The Fellowship of the Ring
34,False,114,Orlando Bloom,Legolas,2,120,The Lord of the Rings: The Fellowship of the Ring
35,False,655,John Rhys-Davies,Gimli,2,120,The Lord of the Rings: The Fellowship of the Ring
36,False,1330,Dominic Monaghan,"Meriadoc ""Merry"" Brandybuck",2,120,The Lord of the Rings: The Fellowship of the Ring
37,False,1329,Billy Boyd,"Peregrin ""Pippin"" Took",2,120,The Lord of the Rings: The Fellowship of the Ring
38,False,48,Sean Bean,Boromir,2,120,The Lord of the Rings: The Fellowship of the Ring
39,False,1333,Andy Serkis,Gollum / Witch-king of Angmar (voice),2,120,The Lord of the Rings: The Fellowship of the Ring
40,False,112,Cate Blanchett,Galadriel,1,120,The Lord of the Rings: The Fellowship of the Ring
41,False,113,Christopher Lee,Saruman,2,120,The Lord of the Rings: The Fellowship of the Ring
42,False,1331,Hugo Weaving,Elrond,2,120,The Lord of the Rings: The Fellowship of the Ring
43,False,65,Ian Holm,Bilbo Baggins,2,120,The Lord of the Rings: The Fellowship of the Ring
44,False,20982,Marton Csokas,Celeborn,2,120,The Lord of the Rings: The Fellowship of the Ring
45,False,1332,Craig Parker,Haldir,2,120,The Lord of the Rings: The Fellowship of the Ring
46,False,1365,Lawrence Makoare,Lurtz,2,120,The Lord of the Rings: The Fellowship of the Ring
47,False,1366,Sala Baker,Sauron / Lugdush,2,120,The Lord of the Rings: The Fellowship of the Ring
48,False,965278,Sarah McLeod,"Rose ""Rosie"" Cotton",1,120,The Lord of the Rings: The Fellowship of the Ring
49,False,1367,Alan Howard,The Ring (voice) / Sauron (voice),2,120,The Lord of the Rings: The Fellowship of the Ring
50,False,585902,Noel Appleby,Everard Proudfoot,0,120,The Lord of the Rings: The Fellowship of the Ring
51,False,1201328,Megan Edwards,Mrs. Proudfoot,0,120,The Lord of the Rings: The Fellowship of the Ring
52,False,1217771,Mark Ferguson,Ereinion Gil-galad,2,120,The Lord of the Rings: The Fellowship of the Ring
53,False,1590835,Brent McIntyre,Witch-king of Angmar,0,120,The Lord of the Rings: The Fellowship of the Ring
54,False,1142191,David Weatherley,Barliman Butterbur,0,120,The Lord of the Rings: The Fellowship of the Ring
55,False,5540,Cameron Rhodes,Farmer Maggot,0,120,The Lord of the Rings: The Fellowship of the Ring
56,False,122441,Harry Sinclair,Isildur,2,120,The Lord of the Rings: The Fellowship of the Ring
57,False,2032189,Peter McKenzie,Elendil,0,120,The Lord of the Rings: The Fellowship of the Ring
58,False,1590834,Michael Elsworth,Círdan,2,120,The Lord of the Rings: The Fellowship of the Ring
59,False,2082669,Katie Jackson,Bell Boffin,0,120,The Lord of the Rings: The Fellowship of the Ring
60,False,1201351,Billy Jackson,Minto Boffin,0,120,The Lord of the Rings: The Fellowship of the Ring
61,False,173370,Martyn Sanderson,Harry Goatleaf,2,120,The Lord of the Rings: The Fellowship of the Ring
62,False,7255,Ian Mune,Bounder,2,120,The Lord of the Rings: The Fellowship of the Ring
63,False,1201337,Victoria Beynon-Cole,Hero Orcs / Goblins / Uruks / Ringwraiths,0,120,The Lord of the Rings: The Fellowship of the Ring
64,False,2082666,Lee Hartley,Hero Orcs / Goblins / Uruks / Ringwraiths,0,120,The Lord of the Rings: The Fellowship of the Ring
65,False,2082762,Sam La Hood,Hero Orcs / Goblins / Uruks / Ringwraiths,0,120,The Lord of the Rings: The Fellowship of the Ring
66,False,2082763,Chris Streeter,Hero Orcs / Goblins / Uruks / Ringwraiths,0,120,The Lord of the Rings: The Fellowship of the Ring
67,False,1201342,Jonathan Jordan,Hero Orcs / Goblins / Uruks / Ringwraiths,0,120,The Lord of the Rings: The Fellowship of the Ring
68,False,2082764,Semi Kuresa,Hero Orcs / Goblins / Uruks / Ringwraiths,0,120,The Lord of the Rings: The Fellowship of the Ring
69,False,1361093,Clinton Ulyatt,Hero Orcs / Goblins / Uruks / Ringwraiths,0,120,The Lord of the Rings: The Fellowship of the Ring
70,False,2082765,Paul Bryson,Hero Orcs / Goblins / Uruks / Ringwraiths,0,120,The Lord of the Rings: The Fellowship of the Ring
71,False,2082766,Lance Fabian Kemp,Hero Orcs / Goblins / Uruks / Ringwraiths,0,120,The Lord of the Rings: The Fellowship of the Ring
72,False,2082767,Jono Manks,Hero Orcs / Goblins / Uruks / Ringwraiths,0,120,The Lord of the Rings: The Fellowship of the Ring
