,actor id,actor name,character,gender,id,movie release year,title,age,place of birth
0,417,Ginnifer Goodwin,Judy Hopps (voice),Female,269149,2016,Zootopia,38,"Memphis, Tennessee, USA"
1,71580,Benedict Cumberbatch,Stephen Strange / Doctor Strange,Male,284052,2016,Doctor Strange,40,"Hammersmith, London, England, UK"
2,16828,Chris Evans,Steve Rogers / Captain America,Male,271110,2016,Captain America: Civil War,35,"Sudbury, Massachusetts, USA"
3,31167,Elizabeth Mitchell,Senator Charlie Roan,Female,316727,2016,The Purge: Election Year,46,"Los Angeles, California, U.S."
4,37632,Eddie Redmayne,Newt Scamander,Male,259316,2016,Fantastic Beasts and Where to Find Them,34,"London, England, UK"
5,9273,Amy Adams,Dr. Louise Banks,Female,329865,2016,Arrival,42,"Vicenza, Veneto, Italy"
6,78110,Scott Adkins,Yuri Boyka,Male,348893,2016,Boyka: Undisputed IV,40,"Sutton Coldfield, West Midlands, England, UK"
7,72855,Felicity Jones,Jyn Erso,Female,330459,2016,Rogue One: A Star Wars Story,33,"Birmingham, West Midlands, England, UK"
8,37625,Andrew Garfield,Desmond T. Doss,Male,324786,2016,Hacksaw Ridge,33,"Los Angeles, California, USA"
9,1414734,Neel Sethi,Mowgli,Male,278927,2016,The Jungle Book,13,"New York, New York, USA"
10,82700,Mario Casas,Adrián Doria,Male,411088,2016,The Invisible Guest,30,"La Coruña, Galicia, Spain"
11,225730,Ryunosuke Kamiki,Taki Tachibana (voice),Male,372058,2016,Your Name.,23,"Saitama, Japan"
12,62064,Chris Pine,Captain James T. Kirk,Male,188927,2016,Star Trek Beyond,36,"Los Angeles, California, USA"
13,10912,Eva Green,Miss Peregrine,Female,283366,2016,Miss Peregrine's Home for Peculiar Children,36,"Paris, France"
14,1050248,Art Parkinson,Kubo (voice),Male,313297,2016,Kubo and the Two Strings,15,"Moville, County Donegal, Ireland"
15,18050,Elle Fanning,Félicie Milliner (voice),Female,342473,2016,Ballerina,18,"Conyers, Georgia, USA"
16,3967,Kate Beckinsale,Selene,Female,346672,2016,Underworld: Blood Wars,43,"Chiswick, London, England, UK"
17,14,Ellen DeGeneres,Dory (voice),Female,127380,2016,Finding Dory,58,"Metairie, Louisiana, USA"
18,2888,Will Smith,Floyd Lawton / Deadshot,Male,297761,2016,Suicide Squad,48,"Philadelphia, Pennsylvania, U.S.A."
19,40036,Taraji P. Henson,Katherine G. Johnson,Female,381284,2016,Hidden Figures,46,"Washington, District of Columbia, USA"
20,64856,Michael Jai White,Case Walker,Male,391757,2016,Never Back Down: No Surrender,49,"Brooklyn, New York City, New York, USA"
21,44735,Jesse Eisenberg,J. Daniel Atlas,Male,291805,2016,Now You See Me 2,33,"New York City, New York"
22,19274,Seth Rogen,Frank / Sergeant Pepper (voice),Male,223702,2016,Sausage Party,34,"Vancouver, British Columbia, Canada"
23,76339,Claudio Santamaria,Enzo Ceccotti,Male,364433,2016,They Call Me Jeeg,42,Roma - Italy
24,5292,Denzel Washington,Sam Chisolm,Male,333484,2016,The Magnificent Seven,62,"Mount Vernon, New York, États-Unis"
25,19588,Miyu Irino,Shouya Ishida (voice),Male,378064,2016,A Silent Voice,28,"Tokyo, Japan"
26,55536,Melissa McCarthy,Abby Yates,Female,43074,2016,Ghostbusters,46,"Plainfield, Illinois, USA"
27,10297,Matthew McConaughey,Buster Moon (voice),Male,335797,2016,Sing,47,"Uvalde, Texas, USA"
28,15757,Ray Romano,Manny (voice),Male,278154,2016,Ice Age: Collision Course,59,"Queens, New York City, New York, USA"
29,46593,Emile Hirsch,Austin Tilden,Male,397243,2016,The Autopsy of Jane Doe,31,"Topanga Canyon, California, USA"
30,1223786,Emilia Clarke,"Louisa ""Lou"" Clark",Female,296096,2016,Me Before You,30,"London, England, UK"
31,70851,Jack Black,Po (voice),Male,140300,2016,Kung Fu Panda 3,47,"Santa Monica, California, USA"
32,96066,Liam Hemsworth,Jake Morrison,Male,47933,2016,Independence Day: Resurgence,26,"Melbourne, Victoria, Australia"
33,76788,Dev Patel,Srinivasa Ramanujan,Male,353326,2016,The Man Who Knew Infinity,26,"Harrow, Greater London, England, United Kingdom"
34,56734,Chloë Grace Moretz,"Cassiopeia ""Cassie"" Sullivan",Female,299687,2016,The 5th Wave,19," Atlanta, Georgia, USA"
35,19537,Megan Fox,April O'Neil,Female,308531,2016,Teenage Mutant Ninja Turtles: Out of the Shadows,30,"Rockwood, Tennessee, USA"
36,28846,Alexander Skarsgård,John Clayton / Tarzan,Male,258489,2016,The Legend of Tarzan,40,"Vällingby, Stockholm, Sweden"
37,34502,Kellan Lutz,Sy Lombrok,Male,354282,2016,The Osiris Child,31,"Dickinson, North Dakota, USA"
38,123664,Kim Min-hee,Lady Hideko,Female,290098,2016,The Handmaiden,34,"Seoul, South Korea"
39,19498,Jon Bernthal,Trigon (voice),Male,379291,2016,Justice League vs. Teen Titans,39,"Washington, District of Columbia, USA"
40,1017347,Brenton Thwaites,Bek,Male,205584,2016,Gods of Egypt,27,"Cairns, Queensland, Australia"
41,29222,Zac Efron,Jason Kelly,Male,291870,2016,Dirty Grandpa,29,"San Luis Obispo, California, USA"
42,1084911,Go Ayano,Nyx Ulric (voice),Male,390734,2016,Kingsglaive: Final Fantasy XV,34,"Gifu Prefecture, Japan"
43,976,Jason Statham,Arthur Bishop,Male,278924,2016,Mechanic: Resurrection,49,"Shirebrook, Derbyshire, England, UK"
44,1674211,Ji Guanlin,Chun (voice),Unknown,271706,2016,Big Fish & Begonia,0,
45,31,Tom Hanks,Chesley 'Sully' Sullenberger,Male,363676,2016,Sully,60,"Concord, California, USA"
46,59175,Blake Lively,Nancy Adams,Female,332567,2016,The Shallows,29,"Tarzana, California, USA"
47,110,Viggo Mortensen,Ben Cash,Male,334533,2016,Captain Fantastic,58,"Manhattan, New York City, New York, USA"
48,34847,Emma Roberts,Vee Delmonico,Female,328387,2016,Nerve,25,"Rhinebeck, New York, USA"
49,94185,Shailene Woodley,"Beatrice ""Tris"" Prior",Female,262504,2016,Allegiant,25,"Simi Valley, California, USA"
50,17628,Mary Elizabeth Winstead,Michelle,Female,333371,2016,10 Cloverfield Lane,32,"Rocky Mount, North Carolina, USA"
51,52851,Paula Patton,Garona Halforcen,Female,68735,2016,Warcraft,41,"Los Angeles, California, USA"
52,180942,Aaron Poole,Daniel Carter,Unknown,378018,2016,The Void,0,
