,actor id,actor name,character,gender,movie id,title
0,1109,Kevin Peter Hall,The Predator,Male,169,Predator 2
1,85,Johnny Depp,Edward Scissorhands,Male,162,Edward Scissorhands
2,62,Bruce Willis,John McClane,Male,1573,Die Hard 2
3,1204,Julia Roberts,Vivian Ward,Female,114,Pretty Woman
5,1158,Al Pacino,Don Michael Corleone,Male,242,The Godfather: Part III
6,65683,Alex Vincent,Andy Barclay,Male,11186,Child's Play 2
7,1269,Kevin Costner,Lieutenant Dunbar,Male,581,Dances with Wolves
8,7447,Alec Baldwin,Jack Ryan,Male,1669,The Hunt for Red October
9,1100,Arnold Schwarzenegger,Douglas Quaid/Hauser,Male,861,Total Recall
10,16170,Zach Galligan,Billy Peltzer,Male,928,Gremlins 2: The New Batch
11,11477,Ray Liotta,Henry Hill,Male,769,GoodFellas
12,90496,Masako Nozawa,Bardock,Female,39323,Dragon Ball Z: Bardock - The Father of Goku
13,45041,Judith Hoag,April O'Neal,Female,1498,Teenage Mutant Ninja Turtles
14,3085,James Caan,Paul Sheldon,Male,1700,Misery
15,2628,Kiefer Sutherland,Nelson,Male,1551,Flatliners
16,2963,Nicolas Cage,Sailor Ripley,Male,483,Wild at Heart
17,9296,Balthazar Getty,Ralph,Male,10847,Lord of the Flies
18,27811,Peter Weller,RoboCop,Male,5549,RoboCop 2
19,16483,Sylvester Stallone,Rocky Balboa,Male,1375,Rocky V
20,90496,Masako Nozawa,Son Goku / Son Gohan (voice),Female,39100,Dragon Ball Z: The World's Strongest
21,90496,Masako Nozawa,Son Goku / Turles / Son Gohan (voice),Female,39101,Dragon Ball Z: The Tree of Might
22,7317,Peter Sallis,Wallace (voice),Male,530,A Grand Day Out
23,21874,Alan Young,Scrooge McDuck,Male,10837,DuckTales: The Movie - Treasure of the Lost Lamp
24,723,Patrick Swayze,Sam Wheat,Male,251,Ghost
25,2461,Mel Gibson,Gene Ryack,Male,11856,Air America
26,5657,Anjelica Huston,Miss Eva Ernst,Female,10166,The Witches
27,521,Michael J. Fox,Marty McFly / Seamus McFly,Male,196,Back to the Future Part III
28,380,Robert De Niro,Leonard Lowe,Male,11005,Awakenings
29,25246,Andy Lau,Policeman,Male,18311,Days of Being Wild
30,23880,Steven Seagal,Mason Storm,Male,9569,Hard to Kill
31,2461,Mel Gibson,Rick Jarmin,Male,1727,Bird on a Wire
32,3809,Francesca Neri,Lulú,Female,53932,The Ages Of Lulu
33,38225,Cher,Rachel Flax,Female,4587,Mermaids
34,4038,Susan Sarandon,Nora Baker,Female,41003,White Palace
35,500,Tom Cruise,Cole Trickle,Male,2119,Days of Thunder
36,1337,Tony Leung Chiu-Wai,Ben,Male,11909,Bullet in the Head
37,3,Harrison Ford,"Rozat ""Rusty"" Sabich",Male,11092,Presumed Innocent
38,776,Eddie Murphy,Reggie Hammond,Male,11595,Another 48 Hrs.
39,862,George C. Scott,Lt. William 'Bill' Kinderman,Male,11587,The Exorcist III
40,27773,Jonathan Brandis,Bastian Bux,Male,34636,The NeverEnding Story II: The Next Chapter
41,15111,Jean-Claude Van Damme,Louis Burke,Male,17466,Death Warrant
42,31,Tom Hanks,Sherman McCoy,Male,9586,The Bonfire of the Vanities
43,21561,Tim Matheson,clint goodman,Male,37865,Buried Alive
44,4690,Christopher Walken,Frank White,Male,9558,King of New York
45,85,Johnny Depp,"Wade ""Cry-Baby"" Walker",Male,9768,Cry-Baby
46,11768,Patricia Tallman,Barbara,Female,19185,Night of the Living Dead
47,57298,Anne Parillaud,Nikita,Female,9322,La Femme Nikita
48,70132,Akira Terao,I,Male,12516,Dreams
49,64057,Dean Cameron,Dave Marshak,Male,21811,Ski School
50,25256,Victoria Abril,Marina Osorio,Female,2469,Tie Me Up! Tie Me Down!
51,16927,Gérard Depardieu,Cyrano de Bergerac,Male,11673,Cyrano de Bergerac
52,10713,Eric Idle,Brian Hope,Male,11131,Nuns on the Run
53,504,Tim Robbins,Jacob Singer,Male,2291,Jacob's Ladder
54,23880,Steven Seagal,John Hatcher,Male,10173,Marked for Death
56,4724,Kevin Bacon,Valentine McKee,Male,9362,Tremors
57,27772,John Ritter,Ben,Male,11077,Problem Child
58,151363,Kate Hodge,Michelle,Female,25018,Leatherface: The Texas Chainsaw Massacre III
59,6952,Charlie Sheen,Carl Taylor,Male,10169,Men at Work
60,1241,John Turturro,Bernie Bernbaum,Male,379,Miller's Crossing
61,78076,Wayne Allwine,Mickey Mouse / Prince (voice),Male,25831,The Prince and the Pauper
62,8654,Matthew Modine,Capt. Dennis Dearborn,Male,12651,Memphis Belle
63,15111,Jean-Claude Van Damme,Leon Gaultier,Male,9399,Lionheart
64,110,Viggo Mortensen,Cameron Dove,Male,21168,The Reflecting Skin
65,12899,Jim Varney,Ernest P. Worrell,Male,18943,Ernest Goes to Jail
66,738,Sean Connery,Bartholomew 'Barley' Scott Blair,Male,10170,The Russia House
67,6952,Charlie Sheen,Lt. Dale Hawkins,Male,427910,Navy Seals
69,5049,John Hurt,Dr. Joe Buchanan / Narrator,Male,3072,Frankenstein Unbound
70,31,Tom Hanks,Joe Banks,Male,2565,Joe Versus the Volcano
71,10017,Charlton Heston,Long John Silver,Male,26612,Treasure Island
72,2880,Emilio Estevez,William H. 'Billy the Kid' Bonney,Male,9086,Young Guns II
73,2228,Sean Penn,Terry Noonan,Male,1662,State of Grace
74,21259,Michael Dudikoff,Joe Armstrong,Male,25528,American Ninja 4: The Annihilation
75,26513,Debra Winger,Kit Moresby,Female,24016,The Sheltering Sky
76,80579,Robert Z'Dar,Matt Cordell,Male,28090,Maniac Cop 2
77,57607,Stephen Chow,Sing,Male,40346,All for the Winner
78,1920,Winona Ryder,Dinky Bossetti,Female,31923,"Welcome Home, Roxy Carmichael"
79,515,Glenn Close,Sunny von Bülow / Narrator,Female,38718,Reversal of Fortune
80,3896,Liam Neeson,Peyton Westlake / Darkman,Male,9556,Darkman
81,20162,Natasha Richardson,Kate / Offred,Female,20815,The Handmaid's Tale
82,5292,Denzel Washington,Bleek Gilliam,Male,41823,Mo' Better Blues
83,21315,Eric Roberts,Josh Baker,Male,79509,The Ambulance
84,593,Joanna Cassidy,Laura,Female,154566,Wheels of Terror
85,51576,Chuck Norris,Col. Scott McCoy,Male,19086,Delta Force 2: The Colombian Connection
86,1205,Richard Gere,Dennis Peck,Male,11060,Internal Affairs
89,8944,Jamie Lee Curtis,Megan Turner,Female,9491,Blue Steel
90,10430,Fred Ward,Henry Miller,Male,17993,Henry & June
91,8891,John Travolta,James Ubriacco,Male,9356,Look Who's Talking Too
92,190,Clint Eastwood,John Wilson,Male,28761,White Hunter Black Heart
93,21063,Pamela Adlon,Liz,Female,40729,The Gate II: Trespassers
94,4138,Craig Sheffer,Aaron Boone,Male,20481,Nightbreed
95,15112,Tom Selleck,Peter Mitchell,Male,11630,Three Men and a Little Lady
96,2461,Mel Gibson,Hamlet,Male,10264,Hamlet
97,190,Clint Eastwood,Nick Pulovski,Male,6723,The Rookie
98,8945,Kevin Kline,Joey Boca,Male,3101,I Love You to Death
99,23920,Chad McQueen,Sean Thompson,Male,65497,Martial Law
100,62050,Paige O'Hara,Belle (voice),Female,10020,Beauty and the Beast
101,1100,Arnold Schwarzenegger,The Terminator,Male,280,Terminator 2: Judgment Day
102,27888,Raúl Juliá,Gomez Addams,Male,2907,The Addams Family
103,18897,Jackie Chan,Jackie Condor,Male,10975,Armour of God II: Operation Condor
104,63,Milla Jovovich,Lilli,Female,13888,Return to the Blue Lagoon
105,1336,Jet Li,Wong Fei Hung,Male,10618,Once Upon a Time in China II
106,4038,Susan Sarandon,Louise Elizabeth Sawyer,Female,1541,Thelma & Louise
107,68494,Justin Whalin,Andy Barclay,Male,11187,Child's Play 3
108,1269,Kevin Costner,Robin Hood,Male,8367,Robin Hood: Prince of Thieves
109,35,Sally Field,Betty Mahmoody,Female,9585,Not Without My Daughter
110,723,Patrick Swayze,Bodhi,Male,1089,Point Break
111,7180,John Candy,C.D. Marsh (uncredited),Male,16270,Career Opportunities
112,5139,Robert Englund,Freddy Krueger,Male,11284,Freddy's Dead: The Final Nightmare
113,1336,Jet Li,Wong Fei Hung,Male,10617,Once Upon a Time in China
114,8534,Kathy Bates,Evelyn Couch,Female,1633,Fried Green Tomatoes
115,90496,Masako Nozawa,Son Goku / Son Gohan / Bardock (voice),Female,24752,Dragon Ball Z: Cooler's Revenge
116,6952,Charlie Sheen,Lt. Topper Harley / Rhett Butler / Superman,Male,9595,Hot Shots!
117,62,Bruce Willis,Joe Hallenbeck,Male,9319,The Last Boy Scout
118,40348,Phillip Glasser,Fievel Mousekewitz (voice),Male,10380,An American Tail: Fievel Goes West
119,15111,Jean-Claude Van Damme,Alex / Chad Wagner,Male,9594,Double Impact
120,10647,Klaus Maria Brandauer,Alex Larson,Male,12227,White Fang
121,16644,Dolph Lundgren,Sgt. Chris Kenner,Male,13154,Showdown in Little Tokyo
123,368,Reese Witherspoon,"Danielle ""Dani"" Trant",Female,17474,The Man in the Moon
124,27772,John Ritter,Ben Healy,Male,28597,Problem Child 2
125,18979,Christina Applegate,Sue Ellen Crandell,Female,15413,Don't Tell Mom the Babysitter's Dead
126,7633,Leslie Nielsen,Frank Drebin,Male,37137,The Naked Gun 2½: The Smell of Fear
127,548015,Shinji Ogawa,Suguru Ogawa,Male,35648,Roujin Z
128,741,River Phoenix,"Michael ""Mike"" Waters",Male,468,My Own Private Idaho
129,1622,Chang Chen,Xiao Si'r (Zhang Zhen),Male,15804,A Brighter Summer Day
130,2413,Dominique Pinon,Louison,Male,892,Delicatessen
131,6856,Kurt Russell,Dennis McCaffrey,Male,2924,Backdraft
132,21561,Tim Matheson,Jim Norman,Male,27769,Sometimes They Come Back
133,11181,Kenneth Branagh,Roman Strauss / Mike Church,Male,11498,Dead Again
134,2157,Robin Williams,Peter Banning,Male,879,Hook
135,1619,Chow Yun-Fat,Joe,Male,47423,Once a Thief
136,1204,Julia Roberts,Hilary O'Neil,Female,9079,Dying Young
137,16422,Don Messick,Scooby-Doo / Scrappy-Doo (voice),Male,13350,Scooby-Doo and the Ghoul School
138,54812,Chevy Chase,Chris Thorne,Male,11933,Nothing but Trouble
139,1241,John Turturro,Barton Fink,Male,290,Barton Fink
140,62,Bruce Willis,Eddie 'Hudson Hawk' Hawkins,Male,9292,Hudson Hawk
141,3416,Demi Moore,Marina Lemke,Female,20096,The Butcher's Wife
142,74932,Paige Turco,April O'Neil,Female,1497,Teenage Mutant Ninja Turtles II: The Secret of the Ooze
143,380,Robert De Niro,Max Cady,Male,1598,Cape Fear
144,25256,Victoria Abril,Rebeca,Female,8222,High Heels
145,55912,Diego Abatantuono,Sergente Nicola Lo Russo,Male,38251,Mediterraneo
146,34612,Anna Chlumsky,Vada Sultenfuss,Female,4032,My Girl
147,148638,Brandon Quintin Adams,Poindexter 'Fool' Williams,Male,13122,The People Under the Stairs
148,1743,Denise Crosby,Marilyn Wade,Female,28859,Dolly Dearest
149,521,Michael J. Fox,Ray Casanov | Nick Lang,Male,11384,The Hard Way
150,2295,Mickey Rourke,Harley Davidson,Male,2453,Harley Davidson and the Marlboro Man
151,67773,Steve Martin,George Stanley Banks,Male,11846,Father of the Bride
152,38559,Christopher Lambert,Connor 'The Highlander' MacLeod,Male,8010,Highlander 2: The Quickening
153,78029,Martin Lawrence,Bilal,Male,16096,House Party 2
154,554867,Tomohiro Nishimura,Amano Jyaku,Male,48626,Urotsukidōji II: Legend of the Demon Womb
155,1920,Winona Ryder,Corky,Female,339,Night on Earth
156,35092,Don Keith Opper,Charlie McFadden,Male,12702,Critters 3
157,1350,Irène Jacob,Weronika/Véronique,Female,1600,The Double Life of Veronique
158,326,Kim Basinger,Vicki Anderson,Female,31633,The Marrying Man
159,16927,Gérard Depardieu,André Arnel,Male,20978,My Father the Hero
160,1328,Sean Astin,William 'Billy' Tepper,Male,10750,Toy Soldiers
161,86110,Glen Campbell,Chanticleer / The King (voice),Male,20421,Rock-A-Doodle
162,7904,Billy Crystal,Mitch Robbins,Male,1406,City Slickers
163,4818,Roberto Benigni,Johnny Stecchino,Male,12776,Johnny Stecchino
164,2975,Laurence Fishburne,Jason 'Furious' Styles,Male,650,Boyz n the Hood
165,27811,Peter Weller,Bill Lee,Male,2742,Naked Lunch
166,521,Michael J. Fox,Benjamin Stone,Male,11821,Doc Hollywood
168,82876,Katsuhiko Sasaki,Professor Mazaki,Male,36679,Godzilla vs. King Ghidorah
169,23880,Steven Seagal,Det Gino Felino,Male,14362,Out for Justice
170,26485,James Belushi,Bill Dancer,Male,11894,Curly Sue
171,74375,Cynthia Rothrock,Billie Blake,Female,61802,Martial Law II: Undercover
172,75312,Sasha Mitchell,David Sloan,Male,24993,Kickboxer 2:  The Road Back
173,2154,Scott Bakula,Paul Blake,Male,20704,Necessary Roughness
174,1532,Bill Murray,Bob 'Bobby' Wiley,Male,10276,What About Bob?
175,67773,Steve Martin,Harris K. Telemacher,Male,2107,L.A. Story
176,1269,Kevin Costner,Jim Garrison,Male,820,JFK
177,1204,Julia Roberts,Laura Burney / Sara Walters,Female,7442,Sleeping with the Enemy
178,10814,Wesley Snipes,Nino Brown,Male,10952,New Jack City
179,1160,Michelle Pfeiffer,Frankie,Female,3784,Frankie and Johnny
181,56128,Kristy Swanson,Jessie,Female,34376,Mannequin Two: On the Move
182,3416,Demi Moore,Cynthia Kellogg,Female,30815,Mortal Thoughts
183,2963,Nicolas Cage,Johnny Collins,Male,36630,Zandalee
184,2224,Christian Slater,Charlie 'Lucky' Luciano,Male,21219,Mobsters
185,28238,David Hasselhoff,Michael Knight,Male,10969,Knight Rider 2000
186,1038,Jodie Foster,Dede Tate,Female,11521,Little Man Tate
187,1733,Nick Nolte,Tom Wingo,Male,10333,The Prince of Tides
188,5292,Denzel Washington,Nick Styles,Male,9546,Ricochet
189,16483,Sylvester Stallone,Angelo 'Snaps' Provolone,Male,11890,Oscar
190,25256,Victoria Abril,Luisa,Female,41782,Lovers
191,821,Beverly D'Angelo,Renee Baker,Female,41802,The Miracle
192,16171,Phoebe Cates,Elizabeth 'Lizzie' Cronin,Female,10379,Drop Dead Fred
193,1844,Til Schweiger,Berti,Male,1915,"Manta, Manta"
194,2047,Danny Glover,Simon,Male,13697,Grand Canyon
195,585,Rutger Hauer,Frank Warren,Male,2125,Wedlock
196,1229,Jeff Bridges,Jack Lucas,Male,177,The Fisher King
197,1776,Francis Ford Coppola,Himself,Male,4539,Hearts of Darkness: A Filmmaker's Apocalypse
198,6449,Warren Beatty,Ben 'Bugsy' Siegel,Male,10337,Bugsy
199,15827,Scott Weinger,Aladdin (voice),Male,812,Aladdin
200,11510,Macaulay Culkin,Kevin,Male,772,Home Alone 2: Lost in New York
201,64,Gary Oldman,Dracula,Male,6114,Dracula
202,1619,Chow Yun-Fat,Insp. 'Tequila' Yuen,Male,11782,Hard Boiled
203,2232,Michael Keaton,Bruce Wayne / Batman,Male,364,Batman Returns
204,18897,Jackie Chan,Chan Ka-Kui/Lin Fu Sheng,Male,11134,Police Story 3: Supercop
205,10205,Sigourney Weaver,Lt. Ellen Louise Ripley,Female,8077,Alien³
206,11856,Daniel Day-Lewis,Hawkeye/Nathaniel Poe,Male,9361,The Last of the Mohicans
207,1037,Harvey Keitel,Mr. White / Larry Dimmick,Male,500,Reservoir Dogs
208,3392,Michael Douglas,Det. Nick Curran,Male,402,Basic Instinct
209,5064,Meryl Streep,Madeline Ashton,Female,9374,Death Becomes Her
210,11357,Bruce Campbell,Ashley 'Ash' J. Williams,Male,766,Army of Darkness
211,90496,Masako Nozawa,Son Goku / Son Gohan (voice),Female,39103,Dragon Ball Z: Return of Cooler
212,190,Clint Eastwood,Bill Munny,Male,33,Unforgiven
213,287,Brad Pitt,Paul Maclean,Male,293,A River Runs Through It
214,16940,Jeremy Irons,Dr. Stephen Fleming,Male,11012,Damage
215,2395,Whoopi Goldberg,Deloris Van Cartier/Sister Mary Clarence,Female,2005,Sister Act
216,16483,Sylvester Stallone,Sgt. Joe Bomowski,Male,9876,Stop! Or My Mom Will Shoot
217,28164,Charles Grodin,George Newton,Male,11806,Beethoven
218,67222,Chingmy Yau,Kitty,Female,26877,Naked Killer
219,69405,Brian Krause,Charles Brady,Male,11428,Sleepwalkers
220,18750,Annabella Sciorra,Claire Bartel,Female,11087,The Hand that Rocks the Cradle
221,90496,Masako Nozawa,Son Goku / Son Gohan (voice),Female,39104,Dragon Ball Z: Super Android 13
222,16927,Gérard Depardieu,Christopher Columbus,Male,1492,1492: Conquest of Paradise
223,2461,Mel Gibson,Martin Riggs,Male,943,Lethal Weapon 3
224,11395,Victor Wong,Grandpa Mori Tanaka,Male,16314,3 Ninjas
225,1158,Al Pacino,Lieutenant Colonel Frank Slade,Male,9475,Scent of a Woman
226,31,Tom Hanks,Jimmy Dugan,Male,11287,A League of Their Own
227,13472,Tim Curry,Hexxus (voice),Male,13225,FernGully: The Last Rainforest
228,23880,Steven Seagal,Casey Ryback,Male,8845,Under Siege
229,3810,Javier Bardem,Raúl,Male,4507,Jamon Jamon
230,4517,Joe Pesci,Vincent 'Vinny' Gambini,Male,10377,My Cousin Vinny
231,21817,Jane March,The Young Girl,Female,10995,The Lover
232,56830,Brigitte Lin,Asia the Invincible (Dong Fang Bu Bai),Female,18672,The Legend of the Swordsman
233,3291,Hugh Grant,Nigel,Male,10497,Bitter Moon
234,6726,Sheryl Lee,Laura Palmer,Female,1923,Twin Peaks: Fire Walk with Me
235,4135,Robert Redford,Martin 'Marty' Bishop,Male,2322,Sneakers
236,3,Harrison Ford,Jack Ryan,Male,9869,Patriot Games
237,5292,Denzel Washington,Malcolm X,Male,1883,Malcolm X
238,1158,Al Pacino,Ricky Roma,Male,9504,Glengarry Glen Ross
239,12519,Virginia Madsen,Helen Lyle,Female,9529,Candyman
240,8872,Rick Moranis,Wayne Szalinski,Male,11158,Honey I Blew Up the Kid
241,11332,Timothy Balme,Lionel Cosgrove,Male,763,Braindead
242,69597,Drew Barrymore,Ivy,Female,9264,Poison Ivy
243,18277,Sandra Bullock,Diane Farrow,Female,26255,Love Potion No. 9
244,18897,Jackie Chan,Ma Yau / Wan Ming,Male,18764,Twin Dragons
245,585,Rutger Hauer,Harley Stone,Male,13006,Split Second
246,326,Kim Basinger,Holli Would,Female,14239,Cool World
247,643,Gong Li,Qiu Ju,Female,38143,The Story of Qiu Ju
248,26775,Liu Chia-Liang,Master Lo,Male,18855,Operation Scorpio
249,500,Tom Cruise,Lt. Daniel Kaffee,Male,881,A Few Good Men
250,15111,Jean-Claude Van Damme,Luc Devreux/GR44,Male,9349,Universal Soldier
251,68758,Kevin Bernhardt,J.P. Monroe,Male,11569,Hellraiser III: Hell on Earth
252,2880,Emilio Estevez,Gordon Bombay,Male,10414,The Mighty Ducks
253,20495,Jeff Fahey,Jobe Smith,Male,10163,The Lawnmower Man
254,500,Tom Cruise,Joseph Donnelly,Male,11259,Far and Away
255,934,Russell Crowe,Hando,Male,10412,Romper Stomper
256,504,Tim Robbins,Griffin Mill,Male,10403,The Player
257,2224,Christian Slater,George Kuffs,Male,14603,Kuffs
258,21125,Richard Kind,Tom,Male,22582,Tom and Jerry: The Movie
259,514,Jack Nicholson,James R. 'Jimmy' Hoffa,Male,10410,Hoffa
260,50,Catherine Deneuve,Eliane Devries,Female,2731,Indochine
261,14324,Joss Ackland,King Papa,Male,42001,The Princess and the Goblin
262,18269,Brendan Fraser,David Greene,Male,14684,School Ties
263,6856,Kurt Russell,Captain Ron,Male,14361,Captain Ron
264,2233,Bridget Fonda,Allison 'Allie' Jones,Female,9605,Single White Female
265,27772,John Ritter,Roy Knable,Male,23939,Stay Tuned
266,8851,Whitney Houston,Rachel Marron,Female,619,The Bodyguard
267,1854,Huub Stapel,Johnny Flodder,Male,10408,Flodder Does Manhattan!
268,10814,Wesley Snipes,Sidney Deane,Male,10158,White Men Can't Jump
269,6856,Kurt Russell,Michael Carr,Male,17494,Unlawful Entry
270,18269,Brendan Fraser,Link,Male,10406,Encino Man
271,61962,D. B. Sweeney,Doug Dorsey,Male,16562,The Cutting Edge
273,16476,Larry Drake,Dr. Evan Rendell,Male,37527,Dr. Giggles
274,12073,Mike Myers,Wayne Campbell,Male,8872,Wayne's World
275,101908,Maxwell Caulfield,David Cole,Male,49292,Animal Instincts
276,941689,Martín Altomaro,Teofilo 'Toto',Male,108777,Dreaming About You
277,1037,Harvey Keitel,Lieutenant,Male,12143,Bad Lieutenant
278,8945,Kevin Kline,Richard Parker,Male,37753,Consenting Adults
279,57298,Anne Parillaud,Marie,Female,27381,Innocent Blood
280,67091,Tomorowo Taguchi,Taniguchi Tomoo,Male,17991,Tetsuo II: Body Hammer
281,24589,Paul Mercurio,Scott Hastings,Male,10409,Strictly Ballroom
282,20498,Carlos Gallardo,El Mariachi,Male,9367,El Mariachi
283,57700,Brandon Lee,Jake Lo,Male,13153,Rapid Fire
284,1336,Jet Li,Jet,Male,20811,The Master
285,10814,Wesley Snipes,John Cutter,Male,10538,Passenger 57
286,9029,Stephen Rea,Fergus,Male,11386,The Crying Game
287,56128,Kristy Swanson,Buffy Summers,Female,10206,Buffy the Vampire Slayer
288,64057,Dean Cameron,Scotty McKay,Male,55694,Miracle Beach
289,56830,Brigitte Lin,Yau Mok Sau,Female,40213,New Dragon Gate Inn
290,6949,John Malkovich,Lennie Small,Male,9609,Of Mice and Men
291,820,Edward Furlong,Jeff Matthews,Male,10906,Pet Sematary II
292,4987,Omar Epps,Q,Male,16136,Juice
293,587,Edward James Olmos,Montoya Santana,Male,13199,American Me
294,75312,Sasha Mitchell,David Sloan,Male,39027,Kickboxer 3: The Art of War
295,776,Eddie Murphy,Marcus Graham,Male,11066,Boomerang
296,271155,James Phillips,Blaine,Male,116883,Badlanders
297,2282,Ben Kingsley,Freddie (voice),Male,110395,Freddie as F.R.O.7.
298,4038,Susan Sarandon,Michaela Odone,Female,2007,Lorenzo's Oil
299,3896,Liam Neeson,Oskar Schindler,Male,424,Schindler's List
300,531,Danny Elfman,Jack Skellington (singing) / Barrel / Clown with the Tear away Face (voice),Male,9479,The Nightmare Before Christmas
301,90496,Masako Nozawa,Son Goku / Son Gohan (voice),Female,34433,Dragon Ball Z: Broly - The Legendary Super Saiyan
302,16483,Sylvester Stallone,Gabe Walker,Male,9350,Cliffhanger
303,27888,Raúl Juliá,Gomez Addams,Male,2758,Addams Family Values
304,4783,Sam Neill,Dr. Alan Grant,Male,329,Jurassic Park
305,2157,Robin Williams,Daniel Hillard / Mrs. Doubtfire,Male,788,Mrs. Doubtfire
306,6952,Charlie Sheen,Topper Harley,Male,9255,Hot Shots! Part Deux
307,3,Harrison Ford,Dr. Kimble,Male,5503,The Fugitive
308,90496,Masako Nozawa,Son Goku / Son Gohan (voice),Female,39105,Dragon Ball Z: Bojack Unbound
309,2395,Whoopi Goldberg,Deloris Van Cartier,Female,6279,Sister Act 2: Back in the Habit
310,521,Michael J. Fox,Chance (voice),Male,6878,Homeward Bound: The Incredible Journey
311,380,Robert De Niro,Dwight Hansen,Male,8092,This Boy’s Life
