,actor id,actor name,character,gender,movie id,movie release year,title,age,place of birth
0,1109,Kevin Peter Hall,The Predator,Male,169,1990,Predator 2,35,"Pittsburgh, Pennsylvania, U.S."
1,65683,Alex Vincent,Andy Barclay,Male,11186,1990,Child's Play 2,9,"Newark, New Jersey, USA"
2,16170,Zach Galligan,Billy Peltzer,Male,928,1990,Gremlins 2: The New Batch,26,"New York City, New York, USA"
3,45041,Judith Hoag,April O'Neal,Female,1498,1990,Teenage Mutant Ninja Turtles,22,"Newburyport, Massachusetts, USA"
4,3085,James Caan,Paul Sheldon,Male,1700,1990,Misery,50,"The Bronx, New York, USA"
5,9296,Balthazar Getty,Ralph,Male,10847,1990,Lord of the Flies,15,"Los Angeles, California, USA"
6,21874,Alan Young,Scrooge McDuck,Male,10837,1990,DuckTales: The Movie - Treasure of the Lost Lamp,71," North Shields, Tyne-and-Wear, England, UK"
7,5657,Anjelica Huston,Miss Eva Ernst,Female,10166,1990,The Witches,39,"Santa Monica, California, USA"
8,3809,Francesca Neri,Lulú,Female,53932,1990,The Ages Of Lulu,26,"Trento, Italy"
9,38225,Cher,Rachel Flax,Female,4587,1990,Mermaids,44,"El Centro, California, USA"
10,862,George C. Scott,Lt. William 'Bill' Kinderman,Male,11587,1990,The Exorcist III,63,"Wise, Virginia, USA"
11,27773,Jonathan Brandis,Bastian Bux,Male,34636,1990,The NeverEnding Story II: The Next Chapter,14,Danbury - Connecticut - USA
12,4690,Christopher Walken,Frank White,Male,9558,1990,King of New York,47,"Queens, New York USA"
13,11768,Patricia Tallman,Barbara,Female,19185,1990,Night of the Living Dead,33,"Pontiac, Illinois USA"
14,70132,Akira Terao,I,Male,12516,1990,Dreams,43,"Kanagawa, Japan"
15,10713,Eric Idle,Brian Hope,Male,11131,1990,Nuns on the Run,47,"South Shields, County Durham, England, UK"
16,151363,Kate Hodge,Michelle,Female,25018,1990,Leatherface: The Texas Chainsaw Massacre III,24,Berkeley - California - USA
17,8654,Matthew Modine,Capt. Dennis Dearborn,Male,12651,1990,Memphis Belle,31,"Loma Linda, California, USA"
18,5049,John Hurt,Dr. Joe Buchanan / Narrator,Male,3072,1990,Frankenstein Unbound,50,"Shirebrook, Derbyshire, England, UK"
19,10017,Charlton Heston,Long John Silver,Male,26612,1990,Treasure Island,67,"Wilmette, Illinois, USA"
20,21259,Michael Dudikoff,Joe Armstrong,Male,25528,1990,American Ninja 4: The Annihilation,36,"Redondo Beach, California, USA"
21,26513,Debra Winger,Kit Moresby,Female,24016,1990,The Sheltering Sky,35,"Cleveland Heights, Ohio, USA"
22,80579,Robert Z'Dar,Matt Cordell,Male,28090,1990,Maniac Cop 2,40,"Chicago, Illinois, USA"
23,20162,Natasha Richardson,Kate / Offred,Female,20815,1990,The Handmaid's Tale,27,"London, England, United Kingdom"
24,21315,Eric Roberts,Josh Baker,Male,79509,1990,The Ambulance,34,"Biloxi, Mississippi, USA"
25,593,Joanna Cassidy,Laura,Female,154566,1990,Wheels of Terror,45,Haddonfield - New Jersey - USA
26,51576,Chuck Norris,Col. Scott McCoy,Male,19086,1990,Delta Force 2: The Colombian Connection,50,"Ryan, Oklahoma"
27,21063,Pamela Adlon,Liz,Female,40729,1990,The Gate II: Trespassers,24,"New York City, New York, USA"
28,23920,Chad McQueen,Sean Thompson,Male,65497,1990,Martial Law,30,"Los Angeles, California, USA"
29,35,Sally Field,Betty Mahmoody,Female,9585,1991,Not Without My Daughter,45,"Pasadena, California, USA"
30,7180,John Candy,C.D. Marsh (uncredited),Male,16270,1991,Career Opportunities,41,"Toronto, Ontario, Canada"
31,40348,Phillip Glasser,Fievel Mousekewitz (voice),Male,10380,1991,An American Tail: Fievel Goes West,13,"Tarzana, California, USA"
32,10647,Klaus Maria Brandauer,Alex Larson,Male,12227,1991,White Fang,48,"Bad Aussee, Austria"
33,18979,Christina Applegate,Sue Ellen Crandell,Female,15413,1991,Don't Tell Mom the Babysitter's Dead,20,"Hollywood, California, USA"
34,548015,Shinji Ogawa,Suguru Ogawa,Male,35648,1991,Roujin Z,50,"Setagaya, Tokyo Prefecture, Japan"
35,741,River Phoenix,"Michael ""Mike"" Waters",Male,468,1991,My Own Private Idaho,21,"Metolius, Oregon USA"
36,1622,Chang Chen,Xiao Si'r (Zhang Zhen),Male,15804,1991,A Brighter Summer Day,15,"Taipei, Taiwan"
37,2413,Dominique Pinon,Louison,Male,892,1991,Delicatessen,36,"Saumur, Maine-et-Loire, France"
38,21561,Tim Matheson,Jim Norman,Male,27769,1991,Sometimes They Come Back,44,"Glendale, California, USA"
39,16422,Don Messick,Scooby-Doo / Scrappy-Doo (voice),Male,13350,1991,Scooby-Doo and the Ghoul School,65,
40,55912,Diego Abatantuono,Sergente Nicola Lo Russo,Male,38251,1991,Mediterraneo,36,"Milano, Italy"
41,34612,Anna Chlumsky,Vada Sultenfuss,Female,4032,1991,My Girl,11,"Chicago, Illinois, USA"
42,148638,Brandon Quintin Adams,Poindexter 'Fool' Williams,Male,13122,1991,The People Under the Stairs,12,"Topeka, Kansas, USA"
43,1743,Denise Crosby,Marilyn Wade,Female,28859,1991,Dolly Dearest,34,"Hollywood, California, USA"
44,554867,Tomohiro Nishimura,Amano Jyaku,Male,48626,1991,Urotsukidōji II: Legend of the Demon Womb,30,"Asahikawa, Hokkaido Prefecture, Japan"
45,35092,Don Keith Opper,Charlie McFadden,Male,12702,1991,Critters 3,42,"Chicago, Illinois, USA "
46,86110,Glen Campbell,Chanticleer / The King (voice),Male,20421,1991,Rock-A-Doodle,55,"Delight, Arkansas, USA"
47,82876,Katsuhiko Sasaki,Professor Mazaki,Male,36679,1991,Godzilla vs. King Ghidorah,47,"Tokyo, Japan"
