,genre,movie id,title
0,Adventure,71805,Shipwrecked
1,Family,71805,Shipwrecked
2,Science Fiction,169,Predator 2
3,Action,169,Predator 2
4,Thriller,169,Predator 2
5,Fantasy,162,Edward Scissorhands
6,Drama,162,Edward Scissorhands
7,Romance,162,Edward Scissorhands
8,Action,1573,Die Hard 2
9,Thriller,1573,Die Hard 2
10,Crime,242,The Godfather: Part III
11,Drama,242,The Godfather: Part III
12,Thriller,242,The Godfather: Part III
13,Action,1669,The Hunt for Red October
14,Adventure,1669,The Hunt for Red October
15,Thriller,1669,The Hunt for Red October
16,Romance,114,Pretty Woman
17,Comedy,114,Pretty Woman
18,Drama,769,GoodFellas
19,Crime,769,GoodFellas
20,Action,861,Total Recall
21,Adventure,861,Total Recall
22,Science Fiction,861,Total Recall
23,Adventure,581,Dances with Wolves
24,Drama,581,Dances with Wolves
25,Western,581,Dances with Wolves
26,Drama,11186,Child's Play 2
27,Horror,11186,Child's Play 2
28,Drama,1375,Rocky V
29,Fantasy,251,Ghost
30,Drama,251,Ghost
31,Thriller,251,Ghost
32,Mystery,251,Ghost
33,Romance,251,Ghost
34,Adventure,196,Back to the Future Part III
35,Comedy,196,Back to the Future Part III
36,Family,196,Back to the Future Part III
37,Science Fiction,196,Back to the Future Part III
38,Science Fiction,1498,Teenage Mutant Ninja Turtles
39,Action,1498,Teenage Mutant Ninja Turtles
40,Adventure,1498,Teenage Mutant Ninja Turtles
41,Comedy,1498,Teenage Mutant Ninja Turtles
42,Family,1498,Teenage Mutant Ninja Turtles
43,Drama,1551,Flatliners
44,Horror,1551,Flatliners
45,Science Fiction,1551,Flatliners
46,Thriller,1551,Flatliners
47,Comedy,928,Gremlins 2: The New Batch
48,Horror,928,Gremlins 2: The New Batch
49,Fantasy,928,Gremlins 2: The New Batch
50,Adventure,530,A Grand Day Out
51,Animation,530,A Grand Day Out
52,Comedy,530,A Grand Day Out
53,Science Fiction,530,A Grand Day Out
54,Family,530,A Grand Day Out
55,Action,5549,RoboCop 2
56,Adventure,5549,RoboCop 2
57,Crime,5549,RoboCop 2
58,Science Fiction,5549,RoboCop 2
59,Thriller,5549,RoboCop 2
60,Drama,1700,Misery
61,Thriller,1700,Misery
62,Adventure,10847,Lord of the Flies
63,Drama,10847,Lord of the Flies
64,Thriller,10847,Lord of the Flies
65,Crime,18311,Days of Being Wild
66,Drama,18311,Days of Being Wild
67,Romance,18311,Days of Being Wild
68,Comedy,483,Wild at Heart
69,Crime,483,Wild at Heart
70,Thriller,483,Wild at Heart
71,Action,9569,Hard to Kill
72,Thriller,9569,Hard to Kill
73,Action,39323,Dragon Ball Z: Bardock - The Father of Goku
74,Animation,39323,Dragon Ball Z: Bardock - The Father of Goku
75,Comedy,4587,Mermaids
76,Drama,4587,Mermaids
77,Romance,4587,Mermaids
78,Comedy,9768,Cry-Baby
79,Music,9768,Cry-Baby
80,Romance,9768,Cry-Baby
81,Adventure,2119,Days of Thunder
82,Action,2119,Days of Thunder
83,Romance,2119,Days of Thunder
84,Drama,2119,Days of Thunder
85,Action,39100,Dragon Ball Z: The World's Strongest
86,Animation,39100,Dragon Ball Z: The World's Strongest
87,Action,39101,Dragon Ball Z: The Tree of Might
88,Animation,39101,Dragon Ball Z: The Tree of Might
89,Adventure,10166,The Witches
90,Fantasy,10166,The Witches
91,Horror,10166,The Witches
92,Drama,11005,Awakenings
93,Drama,53932,The Ages Of Lulu
94,Action,9322,La Femme Nikita
95,Thriller,9322,La Femme Nikita
96,Drama,41003,White Palace
97,Romance,41003,White Palace
98,Thriller,11587,The Exorcist III
99,Horror,11587,The Exorcist III
100,Mystery,11587,The Exorcist III
101,Comedy,11077,Problem Child
102,Adventure,10837,DuckTales: The Movie - Treasure of the Lost Lamp
103,Animation,10837,DuckTales: The Movie - Treasure of the Lost Lamp
104,Family,10837,DuckTales: The Movie - Treasure of the Lost Lamp
105,Comedy,10837,DuckTales: The Movie - Treasure of the Lost Lamp
106,Fantasy,10837,DuckTales: The Movie - Treasure of the Lost Lamp
107,Thriller,11909,Bullet in the Head
108,Crime,11909,Bullet in the Head
109,Drama,11909,Bullet in the Head
110,Action,11856,Air America
111,Adventure,11856,Air America
112,Comedy,11856,Air America
113,Drama,11856,Air America
114,Drama,379,Miller's Crossing
115,Thriller,379,Miller's Crossing
116,Crime,379,Miller's Crossing
117,Action,1727,Bird on a Wire
118,Adventure,1727,Bird on a Wire
119,Comedy,1727,Bird on a Wire
120,Romance,1727,Bird on a Wire
121,Comedy,9586,The Bonfire of the Vanities
122,Drama,9586,The Bonfire of the Vanities
123,Thriller,11092,Presumed Innocent
124,Crime,11092,Presumed Innocent
125,Mystery,11092,Presumed Innocent
126,Drama,2291,Jacob's Ladder
127,Mystery,2291,Jacob's Ladder
128,Horror,2291,Jacob's Ladder
129,Action,9362,Tremors
130,Horror,9362,Tremors
131,Crime,32669,The Two Jakes
132,Drama,32669,The Two Jakes
133,Mystery,32669,The Two Jakes
134,Drama,34636,The NeverEnding Story II: The Next Chapter
135,Family,34636,The NeverEnding Story II: The Next Chapter
136,Fantasy,34636,The NeverEnding Story II: The Next Chapter
137,Adventure,34636,The NeverEnding Story II: The Next Chapter
138,Action,17466,Death Warrant
139,Crime,17466,Death Warrant
140,Drama,17466,Death Warrant
141,Mystery,17466,Death Warrant
142,Thriller,17466,Death Warrant
143,Comedy,11131,Nuns on the Run
144,Action,427910,Navy Seals
145,Thriller,427910,Navy Seals
146,Adventure,427910,Navy Seals
147,Comedy,21811,Ski School
148,Fantasy,12516,Dreams
149,Drama,12516,Dreams
150,Drama,38718,Reversal of Fortune
151,Horror,28090,Maniac Cop 2
152,Thriller,28090,Maniac Cop 2
153,Action,28090,Maniac Cop 2
154,Horror,19185,Night of the Living Dead
155,Drama,41823,Mo' Better Blues
156,Romance,41823,Mo' Better Blues
157,Music,41823,Mo' Better Blues
158,Comedy,41823,Mo' Better Blues
159,Comedy,18943,Ernest Goes to Jail
160,Family,18943,Ernest Goes to Jail
161,Action,9548,The Adventures of Ford Fairlane
162,Comedy,9548,The Adventures of Ford Fairlane
163,Thriller,9548,The Adventures of Ford Fairlane
164,Crime,9548,The Adventures of Ford Fairlane
165,Mystery,9548,The Adventures of Ford Fairlane
166,Thriller,11595,Another 48 Hrs.
167,Action,11595,Another 48 Hrs.
168,Comedy,11595,Another 48 Hrs.
169,Crime,11595,Another 48 Hrs.
170,Drama,11595,Another 48 Hrs.
171,Animation,25831,The Prince and the Pauper
172,Comedy,25831,The Prince and the Pauper
173,Family,25831,The Prince and the Pauper
174,Drama,10170,The Russia House
175,Action,10170,The Russia House
176,Thriller,10170,The Russia House
177,Romance,10170,The Russia House
178,Drama,12651,Memphis Belle
179,War,12651,Memphis Belle
180,Action,12651,Memphis Belle
181,Action,36884,"No Retreat, No Surrender 3: Blood Brothers"
182,Action,9399,Lionheart
183,Thriller,9399,Lionheart
184,Romance,14249,Revenge
185,Thriller,14249,Revenge
186,Action,13995,Captain America
187,Science Fiction,13995,Captain America
188,War,13995,Captain America
189,Action,6723,The Rookie
190,Crime,6723,The Rookie
191,Drama,6723,The Rookie
192,Thriller,6723,The Rookie
193,Action,9556,Darkman
194,Science Fiction,9556,Darkman
195,Crime,9556,Darkman
196,Action,25528,American Ninja 4: The Annihilation
197,Thriller,25528,American Ninja 4: The Annihilation
198,Action,65497,Martial Law
199,Crime,65497,Martial Law
200,Horror,40729,The Gate II: Trespassers
201,Fantasy,40729,The Gate II: Trespassers
202,Comedy,40729,The Gate II: Trespassers
203,Adventure,26612,Treasure Island
204,Family,26612,Treasure Island
205,Comedy,21433,Don't Tell Her It's Me
206,Romance,21433,Don't Tell Her It's Me
207,Comedy,142946,Why Me?
208,Action,142946,Why Me?
209,Adventure,142946,Why Me?
210,Comedy,2469,Tie Me Up! Tie Me Down!
211,Crime,2469,Tie Me Up! Tie Me Down!
212,Drama,2469,Tie Me Up! Tie Me Down!
213,Romance,2469,Tie Me Up! Tie Me Down!
214,Romance,118430,The Forbidden Dance
215,Drama,118430,The Forbidden Dance
216,Thriller,9558,King of New York
217,Crime,9558,King of New York
218,Drama,21168,The Reflecting Skin
219,Horror,21168,The Reflecting Skin
220,Thriller,21168,The Reflecting Skin
221,Crime,11060,Internal Affairs
222,Drama,11060,Internal Affairs
223,Western,9086,Young Guns II
224,Adventure,9086,Young Guns II
225,Romance,9588,Quigley Down Under
226,Action,9588,Quigley Down Under
227,Adventure,9588,Quigley Down Under
228,Western,9588,Quigley Down Under
229,Drama,9588,Quigley Down Under
230,Drama,10264,Hamlet
231,History,10264,Hamlet
232,Comedy,10729,Quick Change
233,Crime,10729,Quick Change
234,Mystery,10729,Quick Change
235,TV Movie,37865,Buried Alive
236,Horror,37865,Buried Alive
237,Thriller,37865,Buried Alive
238,Action,40346,All for the Winner
239,Comedy,40346,All for the Winner
240,Drama,11673,Cyrano de Bergerac
241,Comedy,11673,Cyrano de Bergerac
242,History,11673,Cyrano de Bergerac
243,Romance,11673,Cyrano de Bergerac
244,Action,10173,Marked for Death
